Project name,Impact,SA scenario,Total
Upper Rhine Graben,Water scarcity,2035_BAT_NG_0CCS,0.8954659801903766
Salar de Arizaro,Water scarcity,2035_BAT_NG_0CCS,9.350900761444612
Salar de Centenario,Water scarcity,2035_BAT_NG_0CCS,4.0616561356975565
Kachi,Water scarcity,2035_BAT_NG_0CCS,5.57800259595626
Salar del Hombre Muerto North,Water scarcity,2035_BAT_NG_0CCS,2.168495336663228
East Taijinar,Water scarcity,2035_BAT_NG_0CCS,6.567125031219169
Salar de Olaroz,Water scarcity,2035_BAT_NG_0CCS,2.0090196175268646
Maricunga,Water scarcity,2035_BAT_NG_0CCS,15.699882211095941
Salar de Atacama,Water scarcity,2035_BAT_NG_0CCS,5.357539126711336
Lakkor Tso,Water scarcity,2035_BAT_NG_0CCS,9.399922584440748
Salar del Rincon,Water scarcity,2035_BAT_NG_0CCS,5.772945319707947
Silver Peak,Water scarcity,2035_BAT_NG_0CCS,3.4508103610544625
Salar de Tolillar,Water scarcity,2035_BAT_NG_0CCS,5.114240741997035
Tres Quebradas,Water scarcity,2035_BAT_NG_0CCS,7.539134280028055
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_NG_0CCS,1.4962797115129152
Pozuelos,Water scarcity,2035_BAT_NG_0CCS,16.360524064851376
Salar de Uyuni,Water scarcity,2035_BAT_NG_0CCS,7.406331065380201
Sal de los Angeles,Water scarcity,2035_BAT_NG_0CCS,4.794974442512942
Salar de Pastos Grandes,Water scarcity,2035_BAT_NG_0CCS,11.26732886009022
Sal de Vida,Water scarcity,2035_BAT_NG_0CCS,1.0601542391412035
Qinghai Yiliping,Water scarcity,2035_BAT_NG_0CCS,8.240117294412805
Chaerhan,Water scarcity,2035_BAT_NG_0CCS,6.139123432293813
Zhabuye,Climate change,2035_BAT_Fuel mix_100CCS,1.872406016472825
Fenix,Climate change,2035_BAT_Fuel mix_100CCS,19.97140195455786
Upper Rhine Graben,Climate change,2035_BAT_Fuel mix_100CCS,2.608975774688045
Salar de Arizaro,Climate change,2035_BAT_Fuel mix_100CCS,31.33345412535769
Salar de Centenario,Climate change,2035_BAT_Fuel mix_100CCS,19.570131968431276
Kachi,Climate change,2035_BAT_Fuel mix_100CCS,27.43525575919391
Salar del Hombre Muerto North,Climate change,2035_BAT_Fuel mix_100CCS,5.332934796011235
East Taijinar,Climate change,2035_BAT_Fuel mix_100CCS,12.342855207083668
Salar de Olaroz,Climate change,2035_BAT_Fuel mix_100CCS,2.3089108077784672
Maricunga,Climate change,2035_BAT_Fuel mix_100CCS,4.38183456500878
Salar de Atacama,Climate change,2035_BAT_Fuel mix_100CCS,2.8265511429663275
Lakkor Tso,Climate change,2035_BAT_Fuel mix_100CCS,27.753837209432287
Salar del Rincon,Climate change,2035_BAT_Fuel mix_100CCS,22.814185297343837
Silver Peak,Climate change,2035_BAT_Fuel mix_100CCS,1.5992501620575388
Salar de Tolillar,Climate change,2035_BAT_Fuel mix_100CCS,25.90957160622809
