Impact category,LCI dataset,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_boiler_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Tolillar|heat, central or small-scale, other than natural gas|AR",,,,,0.04282345718236391
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar del Rincon|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Atacama|heat, central or small-scale, other than natural gas|CL",,,,,0.0035933582327812635
Climate change,"heat production, at heat pump 30kW, allocation exergy, Sal de los Angeles|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Qinghai Yiliping|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.02226562719148523
Climate change,"heat production, at heat pump 30kW, allocation exergy, Silver Peak|heat, central or small-scale, other than natural gas|US-WECC",,,,,0.0014218949457558128
Climate change,"heat production, at heat pump 30kW, allocation exergy, Pozuelos|heat, central or small-scale, other than natural gas|AR",,,,,0.025158214071302778
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Cauchari-Olaroz|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Lakkor Tso|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.02226562719148523
Climate change,"heat production, at heat pump 30kW, allocation exergy, Kachi|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Uyuni|heat, central or small-scale, other than natural gas|BO",,,,,0.006919556959101457
Climate change,"heat production, at heat pump 30kW, allocation exergy, Chaerhan|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.02226562719148523
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Arizaro|heat, central or small-scale, other than natural gas|AR",,,,,0.0495843411830778
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Pastos Grandes|heat, central or small-scale, other than natural gas|AR",,,,,0.04282345718236391
Climate change,"heat production, at heat pump 30kW, allocation exergy, Sal de Vida|heat, central or small-scale, other than natural gas|AR",,,,,0.0495843411830778
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar del Hombre Muerto North|heat, central or small-scale, other than natural gas|AR",,,,,0.004013444233342581
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Centenario|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Maricunga|heat, central or small-scale, other than natural gas|CL",,,,,0.004582874153357641
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Olaroz|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Zhabuye|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.002973834071817713
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Upper Rhine Graben|heat, central or small-scale, other than natural gas|DE",,,,,0.0037907877811643106
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Fenix|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, East Taijinar|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.002973834071817713
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Tres Quebradas|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Tolillar|heat, central or small-scale, other than natural gas|AR",,,,,0.0017900620805815098
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar del Rincon|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Atacama|heat, central or small-scale, other than natural gas|CL",,,,,0.004582874153357641
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Sal de los Angeles|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Qinghai Yiliping|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.002973834071817713
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Silver Peak|heat, central or small-scale, other than natural gas|US-WECC",,,,,0.002405005427427843
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Pozuelos|heat, central or small-scale, other than natural gas|AR",,,,,0.0010481544034714944
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Cauchari-Olaroz|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Lakkor Tso|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.002973834071817713
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Kachi|heat, central or small-scale, other than natural gas|AR",,,,,0.030448091682293957
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Uyuni|heat, central or small-scale, other than natural gas|BO",,,,,0.0014851106505624318
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Chaerhan|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.002973834071817713
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Arizaro|heat, central or small-scale, other than natural gas|AR",,,,,0.0010940500309014746
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Salar de Pastos Grandes|heat, central or small-scale, other than natural gas|AR",,,,,0.0017900620805815098
Water scarcity,"heat production, at heat pump 30kW, allocation exergy, Sal de Vida|heat, central or small-scale, other than natural gas|AR",,,,,0.0010940500309014746
